"longitude","latitude","start_date","end_date","label"
-43.4192442574607,-2.47060659223842,"2017-01-01","2018-12-31","Mangrove"
-43.4061042173258,-2.47498790440452,"2017-01-01","2018-12-31","Mangrove"
-43.6196662550058,-2.6131329694898,"2017-01-01","2018-12-31","Mangrove"
-42.0945537848891,-2.74628186921587,"2017-01-01","2018-12-31","Mangrove"
-43.6035775821948,-2.5073638227131,"2017-01-01","2018-12-31","Mangrove"
-42.4618462186754,-2.75113270820094,"2017-01-01","2018-12-31","Mangrove"
-43.4036453617273,-2.53291137094104,"2017-01-01","2018-12-31","Mangrove"
-43.5081812308043,-2.54987519424769,"2017-01-01","2018-12-31","Mangrove"
-43.3738968359076,-2.53313487732419,"2017-01-01","2018-12-31","Mangrove"
-43.4573253837888,-2.54334925168908,"2017-01-01","2018-12-31","Mangrove"
-41.9486421811366,-2.81020072079476,"2017-01-01","2018-12-31","Mangrove"
-43.6533299346867,-2.49972595869873,"2017-01-01","2018-12-31","Mangrove"
-43.3565663106512,-2.42700545142451,"2017-01-01","2018-12-31","Mangrove"
-42.1307056215878,-2.80634626703597,"2017-01-01","2018-12-31","Mangrove"
-43.3826625075489,-2.53726391094176,"2017-01-01","2018-12-31","Mangrove"
-43.327230726341,-2.38113767480622,"2017-01-01","2018-12-31","Mangrove"
-41.9061950111221,-2.73385097607445,"2017-01-01","2018-12-31","Mangrove"
-43.3743865542585,-2.35609014897809,"2017-01-01","2018-12-31","Mangrove"
-42.2509155731356,-2.72824631675603,"2017-01-01","2018-12-31","Mangrove"
-43.5349101392104,-2.44948603776992,"2017-01-01","2018-12-31","Mangrove"
-43.326380045973,-2.38218990195491,"2017-01-01","2018-12-31","Mangrove"
-41.9503747126504,-2.73223831491105,"2017-01-01","2018-12-31","Mangrove"
-43.313442112365,-2.35294508742135,"2017-01-01","2018-12-31","Mangrove"
-43.4369318363661,-2.58947072504505,"2017-01-01","2018-12-31","Mangrove"
-41.9643246511914,-2.81060594627477,"2017-01-01","2018-12-31","Mangrove"
-42.0523352721775,-2.79704449079174,"2017-01-01","2018-12-31","Mangrove"
-43.6630587472035,-2.50713535036817,"2017-01-01","2018-12-31","Mangrove"
-41.9571491728225,-2.75718994475679,"2017-01-01","2018-12-31","Mangrove"
-43.4600929412299,-2.57760764439463,"2017-01-01","2018-12-31","Mangrove"
-41.9562955317309,-2.79590014144214,"2017-01-01","2018-12-31","Mangrove"
-43.4946158325107,-2.52225663459183,"2017-01-01","2018-12-31","Mangrove"
-43.5472904249264,-2.52342275715843,"2017-01-01","2018-12-31","Mangrove"
-43.383878220611,-2.43374162122258,"2017-01-01","2018-12-31","Mangrove"
-42.0334901820851,-2.82631087349048,"2017-01-01","2018-12-31","Mangrove"
-41.9864156639379,-2.86980241237007,"2017-01-01","2018-12-31","Mangrove"
-42.0881296676969,-2.8272914294647,"2017-01-01","2018-12-31","Mangrove"
-43.4016823562442,-2.51331811700275,"2017-01-01","2018-12-31","Mangrove"
-42.2573347952591,-2.85260476224207,"2017-01-01","2018-12-31","Mangrove"
-43.646141816083,-2.56262020086113,"2017-01-01","2018-12-31","Mangrove"
-42.0150082297543,-2.82172569042789,"2017-01-01","2018-12-31","Mangrove"
-42.2317998558932,-2.73882235410471,"2017-01-01","2018-12-31","Mangrove"
-43.6059692982096,-2.56681827078358,"2017-01-01","2018-12-31","Mangrove"
-43.6264500498619,-2.57598313571545,"2017-01-01","2018-12-31","Mangrove"
-41.9552977329753,-2.85681438656569,"2017-01-01","2018-12-31","Mangrove"
-43.4279065903985,-2.47744233429798,"2017-01-01","2018-12-31","Mangrove"
