"longitude","latitude","start_date","end_date","label"
-41.7360261134301,-4.66299175768486,"2017-01-01","2018-12-31","Cerradao"
-42.1431519336417,-3.0697887480854,"2017-01-01","2018-12-31","Cerradao"
-41.9082262752535,-3.16423005502483,"2017-01-01","2018-12-31","Cerradao"
-43.4297791183583,-4.19704506908063,"2017-01-01","2018-12-31","Cerradao"
-42.7242553620509,-2.70759670522212,"2017-01-01","2018-12-31","Open_Cerrado"
-43.3353394102996,-4.35433196258128,"2017-01-01","2018-12-31","Cerradao"
-42.0944093558079,-3.24717612705312,"2017-01-01","2018-12-31","Open_Cerrado"
-41.778703154423,-3.31827722727726,"2017-01-01","2018-12-31","Cerradao"
-41.9122989847401,-2.83836891014779,"2017-01-01","2018-12-31","Open_Cerrado"
-41.9800068957434,-3.32887821931524,"2017-01-01","2018-12-31","Cerradao"
-42.7181136527378,-2.65856905428403,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7463248844214,-2.68355646992556,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7004847885308,-2.73346164270595,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7201451346194,-2.68873263604418,"2017-01-01","2018-12-31","Open_Cerrado"
-41.9454950768446,-3.44344871548932,"2017-01-01","2018-12-31","Cerradao"
-42.7449744037072,-2.683502019163,"2017-01-01","2018-12-31","Open_Cerrado"
-42.724826079934,-2.71358123501129,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7340221668922,-2.67330417731415,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7458917179823,-2.68760391965568,"2017-01-01","2018-12-31","Open_Cerrado"
-41.8239861626482,-3.1816914894781,"2017-01-01","2018-12-31","Cerradao"
-42.7180179383685,-2.65422890813859,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7315526383318,-2.69434218898933,"2017-01-01","2018-12-31","Open_Cerrado"
-42.4530684125088,-5.08430567376328,"2017-01-01","2018-12-31","Cerradao"
-42.750380880487,-2.71054752298713,"2017-01-01","2018-12-31","Open_Cerrado"
-42.72678444612,-2.70526002972823,"2017-01-01","2018-12-31","Open_Cerrado"
-42.7378138313189,-2.71356351517067,"2017-01-01","2018-12-31","Open_Cerrado"
-41.7435381684045,-4.62259143904148,"2017-01-01","2018-12-31","Cerradao"
-41.7351052317727,-4.65917597101166,"2017-01-01","2018-12-31","Cerradao"
-41.9674736644603,-3.33023426593618,"2017-01-01","2018-12-31","Cerradao"
-41.5428073532024,-3.78465024928616,"2017-01-01","2018-12-31","Cerradao"
-41.6743806648449,-4.19914431028988,"2017-01-01","2018-12-31","Cerradao"
-43.6766158436151,-5.56527272964491,"2017-01-01","2018-12-31","Cerradao"
-42.2111966471757,-3.31272583347927,"2017-01-01","2018-12-31","Cerradao"
-42.6931133783904,-2.68818096652329,"2017-01-01","2018-12-31","Open_Cerrado"
-43.4316186717089,-4.19873359366761,"2017-01-01","2018-12-31","Cerradao"
-42.0353090681787,-3.32935088807739,"2017-01-01","2018-12-31","Cerradao"
-42.6988530150731,-2.73366656230856,"2017-01-01","2018-12-31","Open_Cerrado"
-42.6981389208792,-2.68431955629601,"2017-01-01","2018-12-31","Open_Cerrado"
-42.4392464858352,-5.09505745702981,"2017-01-01","2018-12-31","Cerradao"
-42.4364545256775,-5.09655998183673,"2017-01-01","2018-12-31","Cerradao"
-42.0789021422386,-3.4007342717955,"2017-01-01","2018-12-31","Cerradao"
-41.7364078858862,-4.65437787543816,"2017-01-01","2018-12-31","Cerradao"
-41.7559144505491,-4.52143133193324,"2017-01-01","2018-12-31","Cerradao"
-42.7177369741551,-2.65448856855117,"2017-01-01","2018-12-31","Open_Cerrado"
-41.7205076500278,-4.64424732180056,"2017-01-01","2018-12-31","Cerradao"
-41.746964840981,-3.28144409802753,"2017-01-01","2018-12-31","Cerrado"
-41.6753621106922,-3.71130270392933,"2017-01-01","2018-12-31","Cerrado"
-41.5903602363617,-3.77215990778024,"2017-01-01","2018-12-31","Cerrado"
-41.7075310028414,-4.41490815014705,"2017-01-01","2018-12-31","Cerrado"
-41.8365563479588,-5.01672570351664,"2017-01-01","2018-12-31","Cerrado"
-41.6923758309499,-3.35102532343381,"2017-01-01","2018-12-31","Cerrado"
-41.7283348756436,-4.64593604678439,"2017-01-01","2018-12-31","Cerrado"
-41.7256149508521,-3.56940515165088,"2017-01-01","2018-12-31","Cerrado"
-41.7247322944929,-3.54016207089854,"2017-01-01","2018-12-31","Cerrado"
-42.0981272015501,-3.35069334483291,"2017-01-01","2018-12-31","Cerrado"
-41.7228164189496,-3.28796365703133,"2017-01-01","2018-12-31","Cerrado"
-41.8305780702445,-3.32269944292779,"2017-01-01","2018-12-31","Cerrado"
-41.6565636787318,-4.44668285786936,"2017-01-01","2018-12-31","Cerrado"
-42.024847912369,-3.29508309282335,"2017-01-01","2018-12-31","Cerrado"
-41.5899631116187,-3.78106119650237,"2017-01-01","2018-12-31","Cerrado"
-41.741291090636,-4.62411224826242,"2017-01-01","2018-12-31","Cerrado"
-41.5467762367124,-3.79914989574211,"2017-01-01","2018-12-31","Cerrado"
-41.8907592546012,-3.16076826422053,"2017-01-01","2018-12-31","Cerrado"
-41.8980516648481,-3.16135428992802,"2017-01-01","2018-12-31","Cerrado"
-41.535675491589,-3.77406381141691,"2017-01-01","2018-12-31","Cerrado"
-41.5334202474695,-3.78801764695248,"2017-01-01","2018-12-31","Cerrado"
-41.7552298872877,-4.51843399908798,"2017-01-01","2018-12-31","Cerrado"
-41.7595242672734,-4.6985309048608,"2017-01-01","2018-12-31","Cerrado"
-41.7552278922733,-4.52463894620944,"2017-01-01","2018-12-31","Cerrado"
-41.7184092533964,-3.30184130994292,"2017-01-01","2018-12-31","Cerrado"
-41.8282248258603,-3.3144800969842,"2017-01-01","2018-12-31","Cerrado"
-41.7558232465321,-4.69594344292861,"2017-01-01","2018-12-31","Cerrado"
-42.0715155447145,-3.30708499817274,"2017-01-01","2018-12-31","Cerrado"
-41.758104627621,-4.69981778236092,"2017-01-01","2018-12-31","Cerrado"
-41.6846100509538,-4.18933202633601,"2017-01-01","2018-12-31","Cerrado"
-41.5947046429754,-3.69910188213504,"2017-01-01","2018-12-31","Cerrado"
-41.549946331834,-3.7890205669073,"2017-01-01","2018-12-31","Cerrado"
-41.6440238844183,-4.12329051112236,"2017-01-01","2018-12-31","Cerrado"
-42.0929605557643,-3.35101497370172,"2017-01-01","2018-12-31","Cerrado"
-41.7408789973595,-4.46115213900007,"2017-01-01","2018-12-31","Cerrado"
-41.5465479911164,-3.79211310784983,"2017-01-01","2018-12-31","Cerrado"
-41.8458808357523,-3.96678804239956,"2017-01-01","2018-12-31","Cerrado"
-41.7466924619203,-3.82442154174639,"2017-01-01","2018-12-31","Cerrado"
-41.6407516076025,-4.1112650440474,"2017-01-01","2018-12-31","Cerrado"
-41.5859147357702,-3.78655789861805,"2017-01-01","2018-12-31","Cerrado"
-41.6559024184658,-3.48873308648358,"2017-01-01","2018-12-31","Cerrado"
-41.5884929048595,-3.77748280776384,"2017-01-01","2018-12-31","Cerrado"
-41.5339312031617,-3.83722506911069,"2017-01-01","2018-12-31","Cerrado"
-42.0164812366729,-3.18052346435113,"2017-01-01","2018-12-31","Cerrado"
-41.5481692572892,-3.78623921029702,"2017-01-01","2018-12-31","Cerrado"
-41.8534537901191,-3.96765537524489,"2017-01-01","2018-12-31","Cerrado"
-41.7230184551272,-3.28337232893497,"2017-01-01","2018-12-31","Cerrado"
-41.7989276016079,-3.78561746244615,"2017-01-01","2018-12-31","Cerrado"
-41.6582286419181,-3.47909876738643,"2017-01-01","2018-12-31","Cerrado"
-41.5583573974785,-3.78317704799161,"2017-01-01","2018-12-31","Cerrado"
-41.9701372094059,-3.31249143449046,"2017-01-01","2018-12-31","Cerrado"
-41.6905135341688,-3.71872470966792,"2017-01-01","2018-12-31","Cerrado"
-41.9708711890814,-3.47780566230466,"2017-01-01","2018-12-31","Cerrado"
-41.6558083789555,-4.44530063781702,"2017-01-01","2018-12-31","Cerrado"
-41.7059005835293,-4.41483709348515,"2017-01-01","2018-12-31","Cerrado"
-41.7586367540452,-4.70011051336524,"2017-01-01","2018-12-31","Cerrado"
-41.6987155960952,-3.33642290777663,"2017-01-01","2018-12-31","Cerrado"
-41.6875319207036,-3.71859403439065,"2017-01-01","2018-12-31","Cerrado"
-41.8990080283341,-3.72048575113329,"2017-01-01","2018-12-31","Cerrado"
-42.3037788460739,-4.35633973940471,"2017-01-01","2018-12-31","Cerrado"
-41.643884402578,-4.12031395960562,"2017-01-01","2018-12-31","Cerrado"
-41.6561012107566,-4.41428131394253,"2017-01-01","2018-12-31","Cerrado"
-41.758708215878,-4.69849555049866,"2017-01-01","2018-12-31","Cerrado"
-42.3350772654305,-3.39798479762211,"2017-01-01","2018-12-31","Cerrado"
-42.30347107387,-3.42723296754729,"2017-01-01","2018-12-31","Cerrado"
-41.7748534199384,-4.74018345512183,"2017-01-01","2018-12-31","Cerrado"
-41.9639447243974,-3.36173665687686,"2017-01-01","2018-12-31","Cerrado"
-41.8548692457889,-3.96636583289229,"2017-01-01","2018-12-31","Cerrado"
-41.5451587189491,-3.76853831234995,"2017-01-01","2018-12-31","Cerrado"
-41.6475748157595,-3.7254894350141,"2017-01-01","2018-12-31","Cerrado"
-41.7538230578097,-4.51945210580131,"2017-01-01","2018-12-31","Cerrado"
-41.7993751991953,-3.78779891052032,"2017-01-01","2018-12-31","Cerrado"
-41.5899992149176,-3.78025199655009,"2017-01-01","2018-12-31","Cerrado"
-41.5465262860771,-3.76832865357057,"2017-01-01","2018-12-31","Cerrado"
-41.7017600641577,-4.28726769940724,"2017-01-01","2018-12-31","Cerrado"
-41.7969877877146,-4.8624663923117,"2017-01-01","2018-12-31","Cerrado"
-42.0278026605011,-3.20726095428886,"2017-01-01","2018-12-31","Cerrado"
-41.716735275614,-4.46522870235512,"2017-01-01","2018-12-31","Cerrado"
-41.5911494815102,-3.77273530363334,"2017-01-01","2018-12-31","Cerrado"
-42.0251226013847,-3.30131811368069,"2017-01-01","2018-12-31","Cerrado"
-41.6872529705135,-3.46090043040736,"2017-01-01","2018-12-31","Cerrado"
-42.08156119625,-3.35756439659868,"2017-01-01","2018-12-31","Cerrado"
-41.551006660164,-3.78960806290909,"2017-01-01","2018-12-31","Cerrado"
-41.5464259908191,-3.80697167566237,"2017-01-01","2018-12-31","Cerrado"
-42.2968585784139,-3.42966182668766,"2017-01-01","2018-12-31","Cerrado"
-41.7447652921002,-4.66256193259743,"2017-01-01","2018-12-31","Cerrado"
-41.6608605860131,-3.73823657472875,"2017-01-01","2018-12-31","Cerrado"
-41.6669307081568,-3.4602779730475,"2017-01-01","2018-12-31","Cerrado"
-42.0913347181619,-3.38908982490927,"2017-01-01","2018-12-31","Cerrado"
-41.6470881742323,-3.73033339381526,"2017-01-01","2018-12-31","Cerrado"
-42.0659070525023,-3.47618570717833,"2017-01-01","2018-12-31","Cerrado"
-41.7283597472966,-3.56871398016188,"2017-01-01","2018-12-31","Cerrado"
-41.5897040340581,-3.78077948999353,"2017-01-01","2018-12-31","Cerrado"
-41.6642730800015,-3.71027530572672,"2017-01-01","2018-12-31","Cerrado"
-41.6686895924453,-3.71479414542198,"2017-01-01","2018-12-31","Cerrado"
-41.5408597565772,-3.79780663901137,"2017-01-01","2018-12-31","Cerrado"
-41.900980597023,-3.16256360873239,"2017-01-01","2018-12-31","Cerrado"
-42.1699845534365,-3.50439283667809,"2017-01-01","2018-12-31","Cerrado"
-41.7042842541604,-3.45001695159843,"2017-01-01","2018-12-31","Cerrado"
-41.7737532876993,-4.74040551551839,"2017-01-01","2018-12-31","Cerrado"
-41.898218295497,-3.71991114533758,"2017-01-01","2018-12-31","Cerrado"
-41.7701451181218,-4.74186730512183,"2017-01-01","2018-12-31","Cerrado"
-41.5454539712412,-3.76801084971496,"2017-01-01","2018-12-31","Cerrado"
-41.7327529057518,-4.65691620741971,"2017-01-01","2018-12-31","Cerrado"
-41.5457327650722,-3.51902242165957,"2017-01-01","2018-12-31","Cerrado"
-41.7557517685272,-4.69755841420046,"2017-01-01","2018-12-31","Cerrado"
-41.8096048245547,-3.43027111451013,"2017-01-01","2018-12-31","Cerrado"
-41.6459364744636,-3.72568768681492,"2017-01-01","2018-12-31","Cerrado"
-41.706787483972,-4.41325663395875,"2017-01-01","2018-12-31","Cerrado"
-41.6594492775595,-4.4430314002383,"2017-01-01","2018-12-31","Cerrado"
-42.7377929251313,-5.57642269296117,"2017-01-01","2018-12-31","Cerrado"
-41.6436122478876,-3.72909933727423,"2017-01-01","2018-12-31","Cerrado"
-42.0912837838984,-3.22512315169008,"2017-01-01","2018-12-31","Cerrado"
-41.7575725023222,-4.6995250501652,"2017-01-01","2018-12-31","Cerrado"
-41.5873540245449,-3.77256766512562,"2017-01-01","2018-12-31","Cerrado"
-41.5413082559512,-3.77566497042785,"2017-01-01","2018-12-31","Cerrado"
-42.1314420982971,-3.40269282654953,"2017-01-01","2018-12-31","Cerrado"
-41.7195255324957,-4.48828426184098,"2017-01-01","2018-12-31","Cerrado"
-41.7748653162559,-4.73991431820218,"2017-01-01","2018-12-31","Cerrado"
-41.5421457320193,-3.77516156070152,"2017-01-01","2018-12-31","Cerrado"
-41.6811734943083,-3.34674537049969,"2017-01-01","2018-12-31","Cerrado"
-41.8365326515798,-5.01726365971173,"2017-01-01","2018-12-31","Cerrado"
-41.5395282925749,-3.79720709536862,"2017-01-01","2018-12-31","Cerrado"
-41.9704552898618,-3.4434386061655,"2017-01-01","2018-12-31","Cerrado"
-41.7086329334278,-4.40847968211794,"2017-01-01","2018-12-31","Cerrado"
-41.8219034714099,-4.50728974472643,"2017-01-01","2018-12-31","Cerrado"
-41.6552648506082,-4.44527685537669,"2017-01-01","2018-12-31","Cerrado"
-41.7051696134121,-3.37458320558904,"2017-01-01","2018-12-31","Cerrado"
-42.7060767711416,-5.63652428105072,"2017-01-01","2018-12-31","Cerrado"
-41.7762375039829,-4.73970402061323,"2017-01-01","2018-12-31","Cerrado"
-42.3040391842403,-4.35662040062814,"2017-01-01","2018-12-31","Cerrado"
-41.6896526258478,-3.71976818866068,"2017-01-01","2018-12-31","Cerrado"
-41.7412199109436,-3.28876953101629,"2017-01-01","2018-12-31","Cerrado"
-41.6611675505208,-3.73743918589426,"2017-01-01","2018-12-31","Cerrado"
-42.0755871706605,-3.30698773247896,"2017-01-01","2018-12-31","Cerrado"
-41.6685075729043,-3.44303625931295,"2017-01-01","2018-12-31","Cerrado"
-41.6459604300995,-3.72514814155604,"2017-01-01","2018-12-31","Cerrado"
-41.6459484522932,-3.72541791427619,"2017-01-01","2018-12-31","Cerrado"
-41.6682653853664,-4.42236920503152,"2017-01-01","2018-12-31","Cerrado"
-41.8243389340169,-3.34759049531292,"2017-01-01","2018-12-31","Cerrado"
-41.5444152596324,-3.79120780906261,"2017-01-01","2018-12-31","Cerrado"
-42.0402614797789,-3.40990869060899,"2017-01-01","2018-12-31","Cerrado"
-42.1976696142295,-3.29916929447715,"2017-01-01","2018-12-31","Cerrado"
-41.897460468557,-3.82473836248581,"2017-01-01","2018-12-31","Cerrado"
-41.6689922861154,-3.34620967899431,"2017-01-01","2018-12-31","Cerrado"
-41.5333356199362,-3.78990572446073,"2017-01-01","2018-12-31","Cerrado"
-41.5331509398143,-3.77584371169395,"2017-01-01","2018-12-31","Cerrado"
-41.5318195974816,-3.77524409904407,"2017-01-01","2018-12-31","Cerrado"
-41.7238633233633,-3.2888213235623,"2017-01-01","2018-12-31","Cerrado"
-42.0678124012505,-3.7231117883899,"2017-01-01","2018-12-31","Cerrado"
-42.0697629676667,-3.32270308718288,"2017-01-01","2018-12-31","Cerrado"
-41.6878638039054,-3.37950487287387,"2017-01-01","2018-12-31","Cerrado"
-41.8887192627675,-3.7197720488926,"2017-01-01","2018-12-31","Cerrado"
-42.3136830330897,-3.42306063124288,"2017-01-01","2018-12-31","Cerrado"
-41.5914326184385,-3.77247753710778,"2017-01-01","2018-12-31","Cerrado"
-41.9579350905714,-3.57622477115894,"2017-01-01","2018-12-31","Cerrado"
-41.6465340661329,-3.73057932324999,"2017-01-01","2018-12-31","Cerrado"
-41.6809570682519,-4.19808202528001,"2017-01-01","2018-12-31","Cerrado"
-41.6452056441814,-4.12118205398266,"2017-01-01","2018-12-31","Cerrado"
-42.130348993146,-3.2435598357496,"2017-01-01","2018-12-31","Cerrado"
-42.0878563254393,-3.36892369820674,"2017-01-01","2018-12-31","Cerrado"
-41.5397888535961,-3.78532721377923,"2017-01-01","2018-12-31","Cerrado"
-41.6291374848275,-4.12776761118808,"2017-01-01","2018-12-31","Cerrado"
-41.7082775757607,-4.41035318203216,"2017-01-01","2018-12-31","Cerrado"
-41.9439147707936,-3.43607777095263,"2017-01-01","2018-12-31","Cerrado"
-41.5392707926319,-3.78476371381441,"2017-01-01","2018-12-31","Cerrado"
-41.7396965160222,-4.46325932832757,"2017-01-01","2018-12-31","Cerrado"
-41.5449117759645,-3.76798681609891,"2017-01-01","2018-12-31","Cerrado"
-41.8475204544855,-3.96658874313705,"2017-01-01","2018-12-31","Cerrado"
-41.7206611206315,-3.39852767002786,"2017-01-01","2018-12-31","Cerrado"
-41.5884504759228,-3.77234582837539,"2017-01-01","2018-12-31","Cerrado"
